tf,tw,te,tr,trig,a0,surv,cyc,Amax,gam
0.08,0.02,0.09,0.04,0.4,0.5,20.0,60,7.43,21.3
0.08,0.02,0.09,0.04,0.6,0.5,20.0,43,5.74,21.3
0.08,0.02,0.09,0.06,0.4,0.5,18.3,59,96.87,24.2
0.08,0.02,0.09,0.06,0.6,0.5,8.44,22,108.27,24.2
0.08,0.02,0.11,0.04,0.4,0.5,20.0,60,6.53,20.1
0.08,0.02,0.11,0.04,0.6,0.5,10.37,28,70.75,20.1
0.08,0.02,0.11,0.06,0.4,0.5,20.0,60,7.36,22.8
0.08,0.02,0.11,0.06,0.6,0.5,20.0,57,8.24,22.8
0.08,0.02,0.13,0.04,0.4,0.5,18.52,57,81.88,19.0
0.08,0.02,0.13,0.04,0.6,0.5,16.27,41,89.04,19.0
0.08,0.02,0.13,0.06,0.4,0.5,20.0,62,8.13,21.6
0.08,0.02,0.13,0.06,0.6,0.5,20.0,57,8.36,21.6
0.08,0.04,0.09,0.04,0.4,0.5,20.0,64,7.51,18.9
0.08,0.04,0.09,0.04,0.6,0.5,20.0,39,5.26,18.9
0.08,0.04,0.09,0.06,0.4,0.5,6.98,22,95.98,21.5
0.08,0.04,0.09,0.06,0.6,0.5,20.0,59,6.65,21.5
0.08,0.04,0.11,0.04,0.4,0.5,20.0,64,7.45,18.1
0.08,0.04,0.11,0.04,0.6,0.5,20.0,53,8.25,18.1
0.08,0.04,0.11,0.06,0.4,0.5,20.0,60,7.92,20.5
0.08,0.04,0.11,0.06,0.6,0.5,20.0,57,7.68,20.5
0.08,0.04,0.13,0.04,0.4,0.5,15.06,43,90.43,17.3
0.08,0.04,0.13,0.04,0.6,0.5,12.86,33,61.43,17.3
0.08,0.04,0.13,0.06,0.4,0.5,4.97,13,94.99,19.7
0.08,0.04,0.13,0.06,0.6,0.5,8.71,24,102.21,19.7
0.08,0.06,0.09,0.04,0.4,0.5,5.22,17,94.16,17.2
0.08,0.06,0.09,0.04,0.6,0.5,20.0,45,6.95,17.2
0.08,0.06,0.09,0.06,0.4,0.5,20.0,63,7.49,19.6
0.08,0.06,0.09,0.06,0.6,0.5,7.71,22,104.68,19.6
0.08,0.06,0.11,0.04,0.4,0.5,2.7,9,95.55,16.6
0.08,0.06,0.11,0.04,0.6,0.5,20.0,51,7.56,16.6
0.08,0.06,0.11,0.06,0.4,0.5,20.0,57,7.58,18.9
0.08,0.06,0.11,0.06,0.6,0.5,20.0,57,7.52,18.9
0.08,0.06,0.13,0.04,0.4,0.5,2.51,8,110.96,16.0
0.08,0.06,0.13,0.04,0.6,0.5,4.53,13,89.71,16.0
0.08,0.06,0.13,0.06,0.4,0.5,7.31,20,90.61,18.2
0.08,0.06,0.13,0.06,0.6,0.5,20.0,48,7.87,18.2
