t_ms,phi_deg,ank_deg,alpha_deg,del_cmd_deg,del_now_deg
130679,0.066,10.547,10.613,30,29.180
130689,0.044,11.030,11.074,30,29.180
130699,0.044,10.745,10.789,30,29.180
130709,0.044,11.074,11.118,30,29.180
130719,-0.022,10.942,10.920,30,29.180
130729,0.000,11.250,11.250,30,29.180
130739,0.088,11.162,11.250,30,29.092
130749,0.066,10.986,11.052,30,29.092
130759,0.110,10.767,10.876,30,29.180
130769,-0.022,10.525,10.503,30,29.092
130779,-0.022,10.898,10.876,30,29.092
130789,0.044,10.525,10.569,30,29.092
130799,0.044,10.701,10.745,30,29.092
130809,0.000,10.635,10.635,30,29.092
130819,0.066,10.876,10.942,30,29.180
130829,0.000,10.591,10.591,30,29.180
130839,0.022,11.118,11.140,30,29.180
130849,-0.044,10.789,10.745,30,29.180
130859,0.044,10.964,11.008,30,29.180
130869,0.022,10.525,10.547,30,29.180
130879,0.022,11.008,11.030,30,29.180
130889,0.022,10.811,10.833,30,29.092
130899,0.044,10.876,10.920,30,29.092
130909,0.044,10.898,10.942,30,29.180
130919,-0.022,10.833,10.811,30,29.180
130929,0.044,10.129,10.173,30,29.092
130939,0.066,10.964,11.030,30,29.180
130949,-0.022,10.723,10.701,30,29.092
130959,0.088,10.942,11.030,30,29.092
130969,0.000,10.437,10.437,30,29.180
130979,0.044,10.876,10.920,30,29.180
130989,0.066,11.074,11.140,30,29.180
130999,0.044,10.701,10.745,30,29.180
131009,0.066,10.305,10.371,30,29.092
131019,0.022,10.942,10.964,30,29.092
131029,0.066,10.942,11.008,30,29.092
131039,0.088,10.767,10.854,30,29.092
131049,0.066,10.635,10.701,30,29.092
131059,0.088,10.481,10.569,30,29.180
131069,0.066,10.217,10.283,30,29.180
131079,0.044,10.657,10.701,30,29.180
131089,0.066,10.723,10.789,30,29.180
131099,0.088,10.854,10.942,30,29.180
131109,0.066,10.305,10.371,30,29.180
131119,0.110,11.140,11.250,30,29.180
131129,0.088,10.811,10.898,30,29.180
131139,0.088,10.305,10.393,30,29.092
131149,0.110,11.140,11.250,30,29.180
131159,0.088,10.657,10.745,30,29.180
131169,0.132,10.613,10.745,30,29.180
131179,0.088,11.030,11.118,30,29.180
131189,0.088,10.701,10.789,30,29.092
131199,0.066,10.854,10.920,30,29.180
131209,0.088,10.964,11.052,30,29.092
131219,0.088,10.723,10.811,30,29.180
131229,0.066,10.173,10.239,30,29.180
131239,0.066,10.547,10.613,30,29.180
131249,0.088,10.898,10.986,30,29.180
131259,0.088,10.854,10.942,30,29.092
131269,0.110,10.701,10.811,30,29.092
131279,0.066,11.118,11.184,30,29.180
131289,0.088,11.140,11.228,30,29.180
131299,0.066,10.349,10.415,30,29.180
131309,0.066,10.701,10.767,30,29.092
131319,0.044,10.635,10.679,30,29.180
131329,0.066,10.591,10.657,30,29.180
131339,0.066,10.613,10.679,30,29.180
131349,0.000,11.008,11.008,30,29.092
131359,0.066,10.393,10.459,30,29.180
131369,0.000,11.030,11.030,30,29.180
131379,0.044,10.811,10.854,30,29.180
131389,0.088,10.635,10.723,30,29.180
131399,0.044,10.854,10.898,30,29.180
131409,0.110,11.052,11.162,30,29.180
131419,0.000,10.701,10.701,30,29.180
131429,0.110,10.745,10.854,30,29.180
131439,0.066,10.547,10.613,30,29.092
131449,0.088,10.898,10.986,30,29.180
131459,0.088,10.854,10.942,30,29.180
131469,0.088,10.657,10.745,30,29.180
131479,0.088,10.723,10.811,30,29.180
131489,0.154,10.745,10.898,30,29.180
131499,0.066,10.459,10.525,30,29.180
131509,0.066,10.723,10.789,30,29.180
131519,0.044,10.547,10.591,30,29.092
131529,0.088,10.986,11.074,30,29.180
131539,0.066,10.657,10.723,30,29.092
131549,0.110,10.503,10.613,30,29.180
131559,0.088,10.767,10.854,30,29.180
131569,0.066,10.833,10.898,30,29.092
131579,0.066,10.679,10.745,30,29.092
131589,0.088,11.030,11.118,30,29.092
131599,0.088,10.789,10.876,30,29.180
131609,0.044,10.679,10.723,30,29.180
131619,0.088,10.898,10.986,30,29.180
131629,0.132,10.723,10.854,30,29.180
131639,0.044,10.591,10.635,30,29.180
131649,0.066,10.876,10.942,30,29.180
131659,0.066,10.613,10.679,30,29.092
131669,0.044,10.679,10.723,30,29.180
131679,0.110,10.898,11.008,30,29.180
131689,0.000,10.723,10.723,30,29.092
131699,0.044,10.986,11.030,30,29.180
131709,0.066,10.459,10.525,30,29.180
131719,0.000,11.008,11.008,30,29.180
131729,0.044,10.613,10.657,30,29.180
131739,0.066,10.679,10.745,30,29.180
131749,0.022,10.701,10.723,30,29.092
131759,0.044,11.250,11.294,30,29.180
131769,0.066,10.898,10.964,30,29.180
131779,0.044,11.140,11.184,30,29.180
131789,0.000,10.701,10.701,30,29.092
131799,0.022,11.228,11.250,30,29.180
131809,0.044,10.657,10.701,30,29.180
131819,0.022,10.569,10.591,30,29.180
131829,0.088,10.986,11.074,30,29.092
131839,0.044,11.052,11.096,30,29.092
131849,-0.022,10.525,10.503,30,29.092
131859,-0.022,10.525,10.503,30,29.092
131869,-0.022,10.986,10.964,30,29.092
131879,0.088,10.503,10.591,30,29.180
131889,0.000,11.206,11.206,30,29.180
131899,0.044,10.525,10.569,30,29.180
131909,-0.022,10.569,10.547,30,29.092
131919,0.044,10.854,10.898,30,29.180
131929,0.022,10.679,10.701,30,29.180
131939,0.000,10.635,10.635,30,29.180
131949,0.088,10.854,10.942,30,29.180
131959,0.000,10.811,10.811,30,29.180
131969,0.044,10.635,10.679,30,29.180
131979,0.044,10.811,10.854,30,29.180
131989,0.022,11.118,11.140,30,29.180
131999,0.022,10.195,10.217,30,29.092
132009,0.022,10.833,10.854,30,29.180
132019,0.044,10.876,10.920,30,29.180
132029,0.022,10.591,10.613,30,29.092
132039,-0.022,11.162,11.140,30,29.180
132049,-0.022,10.854,10.833,30,29.180
132059,0.022,10.437,10.459,30,29.180
132069,-0.044,10.723,10.679,30,29.092
132079,0.044,10.767,10.811,30,29.092
132089,0.088,10.547,10.635,30,29.180
132099,0.066,10.854,10.920,30,29.092
132109,-0.044,10.723,10.679,30,29.092
132119,0.022,10.789,10.811,30,29.180
132129,-0.022,10.898,10.876,30,29.180
132139,0.044,10.459,10.503,30,29.180
132149,0.088,10.547,10.635,30,29.180
132159,-0.022,10.876,10.854,30,29.092
132169,-0.022,10.876,10.854,30,29.092
132179,0.000,10.854,10.854,30,29.180
132189,-0.022,11.052,11.030,30,29.180
132199,-0.022,10.833,10.811,30,29.092
132209,0.088,10.898,10.986,30,29.180
132219,-0.022,10.679,10.657,30,29.180
132229,0.066,11.074,11.140,30,29.180
132239,0.022,11.426,11.448,30,29.092
132249,-0.044,10.854,10.811,30,29.092
132259,0.066,10.898,10.964,30,29.180
132269,-0.088,10.920,10.833,30,29.180
132279,0.000,10.854,10.854,30,29.180
132289,-0.022,10.173,10.151,30,29.180
132299,-0.044,11.096,11.052,30,29.092
132309,-0.022,11.096,11.074,30,29.092
132319,-0.022,10.767,10.745,30,29.180
132329,-0.022,11.074,11.052,30,29.180
132339,-0.022,10.723,10.701,30,29.092
132349,0.000,11.074,11.074,30,29.092
132359,-0.066,10.745,10.679,30,29.092
132369,-0.022,10.525,10.503,30,29.180
132379,0.066,10.964,11.030,30,29.180
132389,-0.022,10.745,10.723,30,29.180
132399,0.000,10.415,10.415,30,29.180
132409,0.044,10.481,10.525,30,29.180
132419,0.044,10.525,10.569,30,29.180
132429,-0.044,10.569,10.525,30,29.180
132439,-0.022,11.162,11.140,30,29.180
132449,0.044,10.613,10.657,30,29.092
132459,0.044,11.008,11.052,30,29.180
132469,0.044,10.986,11.030,30,29.180
132479,0.000,11.118,11.118,30,29.092
132489,0.022,10.657,10.679,30,29.180
132499,0.022,10.591,10.613,30,29.180
132509,0.022,10.701,10.723,30,29.092
132519,0.000,10.767,10.767,30,29.092
132529,-0.022,10.745,10.723,30,29.092
132539,0.022,10.767,10.789,30,29.180
132549,0.000,10.591,10.591,30,29.092
132559,0.000,10.459,10.459,30,29.180
132569,-0.022,10.635,10.613,30,29.180
132579,-0.088,10.569,10.481,30,29.180
132589,-0.066,10.723,10.657,30,29.092
132599,-0.066,10.679,10.613,30,29.180
132609,-0.022,10.701,10.679,30,29.180
132619,-0.022,10.679,10.657,30,29.180
132629,0.000,10.811,10.811,30,29.180
132639,0.022,10.657,10.679,30,29.092
132649,-0.066,10.833,10.767,30,29.092
132659,-0.022,11.228,11.206,30,29.092
132669,0.044,10.920,10.964,30,29.180
132679,0.044,10.547,10.591,30,29.092
132689,0.044,10.635,10.679,30,29.180
132699,-0.022,10.986,10.964,30,29.180
132709,0.000,11.008,11.008,30,29.180
132719,-0.022,10.679,10.657,30,29.092
132729,0.044,10.503,10.547,30,29.180
132739,0.066,11.008,11.074,30,29.180
132749,0.022,10.854,10.876,30,29.180
132759,0.044,10.833,10.876,30,29.092
132769,0.044,10.789,10.833,30,29.180
132779,0.022,10.415,10.437,30,29.180
132789,0.066,10.789,10.854,30,29.092
132799,0.066,10.876,10.942,30,29.092
132809,0.066,10.767,10.833,30,29.180
132819,0.022,10.679,10.701,30,29.180
132829,0.022,10.635,10.657,30,29.092
132839,0.000,10.503,10.503,30,29.092
132849,-0.022,10.854,10.833,30,29.092
132859,0.088,10.701,10.789,30,29.180
132869,0.044,11.052,11.096,30,29.092
132879,0.066,11.426,11.492,30,29.180
132889,0.044,10.789,10.833,30,29.180
132899,0.088,10.547,10.635,30,29.180
132909,0.066,10.876,10.942,30,29.092
132919,0.066,10.503,10.569,30,29.180
132929,0.022,10.854,10.876,30,29.180
132939,0.022,10.569,10.591,30,29.180
132949,0.000,10.876,10.876,30,29.092
132959,0.088,10.767,10.854,30,29.180
132969,0.022,10.701,10.723,30,29.180
132979,0.110,10.898,11.008,30,29.180
132989,0.066,10.811,10.876,30,29.180
132999,0.022,10.854,10.876,30,29.180
133009,0.110,10.833,10.942,30,29.092
133019,0.110,10.701,10.811,30,29.180
133029,0.066,10.745,10.811,30,29.180
133039,0.066,10.833,10.898,30,29.092
133049,0.044,10.767,10.811,30,29.092
133059,0.088,10.789,10.876,30,29.180
133069,0.088,10.701,10.789,30,29.180
133079,0.044,10.920,10.964,30,29.180
133089,0.000,10.657,10.657,30,29.180
133099,0.066,10.854,10.920,30,29.180
133109,0.088,10.811,10.898,30,29.092
133119,0.110,10.986,11.096,30,29.092
133129,0.044,10.371,10.415,30,29.092
133139,0.088,10.964,11.052,30,29.092
133149,0.022,10.657,10.679,30,29.180
133159,0.088,10.789,10.876,30,29.092
133169,0.066,10.745,10.811,30,29.092
133179,0.066,11.052,11.118,30,29.180
133189,0.022,10.525,10.547,30,29.180
133199,0.044,10.657,10.701,30,29.180
133209,0.044,10.854,10.898,30,29.180
133219,0.110,10.591,10.701,30,29.180
133229,0.066,10.591,10.657,30,29.092
133239,0.044,10.657,10.701,30,29.092
133249,-0.022,10.591,10.569,30,29.180
133259,0.044,10.942,10.986,30,29.180
133269,0.000,11.052,11.052,30,29.180
133279,0.044,10.481,10.525,30,29.092
133289,0.110,10.327,10.437,30,29.092
133299,0.088,10.613,10.701,30,29.180
133309,0.044,10.613,10.657,30,29.092
133319,0.066,10.613,10.679,30,29.180
133329,0.066,10.635,10.701,30,29.092
133339,0.088,10.327,10.415,30,29.180
133349,0.066,11.030,11.096,30,29.180
133359,0.088,11.096,11.184,30,29.180
133369,0.132,10.635,10.767,30,29.092
133379,0.132,10.393,10.525,30,29.180
133389,0.066,10.833,10.898,30,29.180
133399,0.066,10.547,10.613,30,29.180
133409,0.066,10.920,10.986,30,29.180
133419,0.066,11.008,11.074,30,29.180
133429,0.088,10.789,10.876,30,29.092
133439,0.066,10.811,10.876,30,29.092
133449,0.000,10.635,10.635,30,29.180
133459,0.088,10.679,10.767,30,29.092
133469,0.088,10.613,10.701,30,29.092
133479,0.088,10.657,10.745,30,29.180
133489,0.088,10.657,10.745,30,29.180
133499,0.088,10.767,10.854,30,29.092
133509,0.066,10.986,11.052,30,29.180
133519,0.066,10.657,10.723,30,29.180
133529,0.088,10.525,10.613,30,29.180
133539,0.066,10.898,10.964,30,29.180
133549,0.044,10.635,10.679,30,29.180
133559,0.022,10.591,10.613,30,29.180
133569,0.066,10.613,10.679,30,29.092
133579,0.000,11.074,11.074,30,29.092
133589,0.000,10.305,10.305,30,29.092
133599,0.022,10.854,10.876,30,29.180
133609,0.022,10.789,10.811,30,29.180
133619,0.044,10.876,10.920,30,29.180
133629,0.044,10.657,10.701,30,29.092
133639,0.088,10.767,10.854,30,29.180
133649,0.022,10.854,10.876,30,29.180
133659,0.022,10.371,10.393,30,29.180
133669,0.066,10.811,10.876,30,29.180
133679,0.066,11.140,11.206,30,29.092
133689,0.022,10.569,10.591,30,29.180
133699,0.044,10.503,10.547,30,29.092
133709,0.044,10.920,10.964,30,29.180
133719,0.044,10.876,10.920,30,29.092
133729,-0.022,10.789,10.767,30,29.180
133739,0.110,11.294,11.404,30,29.092
133749,-0.022,11.008,10.986,30,29.180
133759,0.000,10.833,10.833,30,29.180
133769,0.088,10.920,11.008,30,29.180
133779,0.044,10.811,10.854,30,29.180
133789,0.022,10.635,10.657,30,29.180
133799,-0.022,10.239,10.217,30,29.180
133809,0.066,10.635,10.701,30,29.180
133819,0.088,10.964,11.052,30,29.092
133829,0.088,11.030,11.118,30,29.092
133839,0.000,10.591,10.591,30,29.180
133849,-0.022,10.767,10.745,30,29.180
133859,0.022,10.657,10.679,30,29.092
133869,-0.022,10.964,10.942,30,29.180
133879,0.044,10.767,10.811,30,29.092
133889,0.000,10.613,10.613,30,29.092
133899,-0.022,10.745,10.723,30,29.092
133909,0.000,10.393,10.393,30,29.092
133919,0.000,10.767,10.767,30,29.180
133929,0.088,10.547,10.635,30,29.092
133939,0.022,10.679,10.701,30,29.180
133949,0.066,10.327,10.393,30,29.180
133959,0.022,11.140,11.162,30,29.092
133969,0.000,10.767,10.767,30,29.180
133979,0.022,10.964,10.986,30,29.180
133989,0.022,10.679,10.701,30,29.180
133999,0.022,10.942,10.964,30,29.180
134009,0.000,11.162,11.162,30,29.180
134019,0.066,11.206,11.272,30,29.180
134029,-0.044,11.030,10.986,30,29.180
134039,0.000,10.569,10.569,30,29.180
134049,0.000,10.811,10.811,30,29.092
134059,0.000,10.437,10.437,30,29.180
134069,-0.044,10.415,10.371,30,29.180
134079,0.044,10.613,10.657,30,29.180
134089,0.000,10.898,10.898,30,29.180
134099,0.000,10.657,10.657,30,29.180
134109,0.044,10.745,10.789,30,29.092
134119,0.022,10.723,10.745,30,29.092
134129,-0.022,10.920,10.898,30,29.180
134139,0.022,10.547,10.569,30,29.092
134149,0.022,10.767,10.789,30,29.180
134159,0.044,10.898,10.942,30,29.092
134169,0.000,10.898,10.898,30,29.180
134179,0.022,10.942,10.964,30,29.180
134189,0.022,10.767,10.789,30,29.180
134199,0.022,10.986,11.008,30,29.180
134209,0.000,10.459,10.459,30,29.180
134219,0.066,10.481,10.547,30,29.180
134229,-0.022,10.854,10.833,30,29.180
134239,-0.022,10.876,10.854,30,29.180
134249,0.022,11.162,11.184,30,29.092
134259,0.044,10.591,10.635,30,29.180
134269,0.044,10.613,10.657,30,29.092
134279,0.044,10.986,11.030,30,29.180
134289,0.000,10.898,10.898,30,29.180
134299,-0.022,10.833,10.811,30,29.180
134309,0.000,10.679,10.679,30,29.180
134319,0.088,10.437,10.525,30,29.180
134329,-0.022,10.898,10.876,30,29.092
134339,0.022,10.635,10.657,30,29.180
134349,0.000,10.833,10.833,30,29.180
134359,0.000,10.920,10.920,30,29.092
134369,0.022,10.920,10.942,30,29.180
134379,-0.088,10.876,10.789,30,29.180
134389,0.000,10.898,10.898,30,29.092
134399,0.000,10.701,10.701,30,29.180
134409,0.022,10.942,10.964,30,29.180
134419,0.044,10.833,10.876,30,29.180
134429,-0.044,10.503,10.459,30,29.092
134439,0.022,10.767,10.789,30,29.180
134449,0.022,10.415,10.437,30,29.180
134459,0.000,10.613,10.613,30,29.180
134469,0.022,10.789,10.811,30,29.092
134479,0.022,10.986,11.008,30,29.092
134489,0.066,10.833,10.898,30,29.180
134499,0.022,11.030,11.052,30,29.092
134509,0.000,10.876,10.876,30,29.180
134519,0.000,11.228,11.228,30,29.092
134529,0.022,10.569,10.591,30,29.092
134539,0.044,10.789,10.833,30,29.092
134549,0.000,10.942,10.942,30,29.180
134559,-0.044,10.679,10.635,30,29.092
134569,0.000,10.613,10.613,30,29.092
134579,0.044,10.767,10.811,30,29.180
134589,0.044,10.854,10.898,30,29.092
134599,-0.022,10.547,10.525,30,29.092
134609,0.022,10.657,10.679,30,29.180
134619,0.000,10.437,10.437,30,29.180
134629,0.066,11.008,11.074,30,29.092
134639,0.000,10.679,10.679,30,29.180
134649,0.022,11.074,11.096,30,29.180
134659,-0.022,11.162,11.140,30,29.092
134669,0.066,11.184,11.250,30,29.180
134679,0.022,10.723,10.745,30,29.180
134689,0.022,10.613,10.635,30,29.180
134699,0.022,10.833,10.854,30,29.180
134709,0.066,10.437,10.503,30,29.180
134719,0.022,10.547,10.569,30,29.180
134729,0.044,10.811,10.854,30,29.180
134739,0.022,10.789,10.811,30,29.180
134749,0.088,10.745,10.833,30,29.092
134759,0.022,10.635,10.657,30,29.180
134769,0.044,10.833,10.876,30,29.092
134779,-0.044,10.833,10.789,30,29.180
134789,0.066,10.701,10.767,30,29.092
134799,0.044,10.898,10.942,30,29.180
134809,0.088,10.679,10.767,30,29.180
134819,0.044,10.723,10.767,30,29.180
134829,0.044,10.833,10.876,30,29.180
134839,0.044,10.876,10.920,30,29.092
134849,0.066,10.217,10.283,30,29.180
134859,0.066,10.745,10.811,30,29.180
134869,0.000,10.525,10.525,30,29.180
134879,0.044,10.459,10.503,30,29.180
134889,0.044,10.569,10.613,30,29.092
134899,0.066,11.448,11.514,30,29.180
134909,0.000,10.591,10.591,30,29.180
134919,0.022,11.052,11.074,30,29.180
134929,0.000,10.811,10.811,30,29.180
134939,0.066,10.701,10.767,30,29.092
134949,0.088,10.898,10.986,30,29.092
134959,0.044,11.140,11.184,30,29.180
134969,0.044,10.503,10.547,30,29.092
134979,0.000,10.679,10.679,30,29.180
134989,0.066,10.503,10.569,30,29.180
134999,0.044,10.767,10.811,30,29.092
135009,0.088,10.767,10.854,30,29.092
135019,0.088,10.591,10.679,30,29.092
135029,-0.022,10.679,10.657,30,29.180
135039,0.044,10.679,10.723,30,29.092
135049,0.066,11.096,11.162,30,29.092
135059,-0.044,10.745,10.701,30,29.092
135069,0.044,11.140,11.184,30,29.180
135079,0.088,10.745,10.833,30,29.180
135089,0.044,10.525,10.569,30,29.180
135099,0.044,10.767,10.811,30,29.180
135109,0.088,10.503,10.591,30,29.180
135119,0.000,10.789,10.789,30,29.092
135129,0.066,10.942,11.008,30,29.092
135139,0.088,10.920,11.008,30,29.180
135149,0.000,10.789,10.789,30,29.180
135159,0.044,11.008,11.052,30,29.180
135169,0.000,10.679,10.679,30,29.092
135179,0.022,10.789,10.811,30,29.180
135189,0.044,10.767,10.811,30,29.180
135199,0.044,11.052,11.096,30,29.092
135209,0.066,10.745,10.811,30,29.180
135219,0.088,11.008,11.096,30,29.092
135229,0.066,10.767,10.833,30,29.180
135239,0.022,10.591,10.613,30,29.092
135249,-0.022,10.745,10.723,30,29.092
135259,0.022,10.635,10.657,30,29.180
135269,0.088,11.294,11.382,30,29.180
135279,0.066,11.118,11.184,30,29.092
135289,0.066,10.305,10.371,30,29.180
135299,0.022,10.898,10.920,30,29.180
135309,0.022,10.679,10.701,30,29.180
135319,0.044,10.657,10.701,30,29.180
135329,0.044,10.305,10.349,30,29.092
135339,0.066,10.679,10.745,30,29.180
135349,0.044,10.701,10.745,30,29.180
135359,0.022,10.481,10.503,30,29.180
135369,0.066,11.228,11.294,30,29.092
135379,0.022,10.437,10.459,30,29.092
135389,-0.022,10.942,10.920,30,29.092
135399,0.066,10.723,10.789,30,29.092
135409,0.066,10.569,10.635,30,29.180
138905,-0.044,6.482,6.438,20,19.424
138915,0.066,6.570,6.636,20,19.424
138925,0.022,6.746,6.768,20,19.424
138935,0.044,6.680,6.724,20,19.424
138945,0.044,6.658,6.702,20,19.424
138955,0.022,6.416,6.438,20,19.424
138965,0.044,6.877,6.921,20,19.424
138975,0.022,6.460,6.482,20,19.424
138985,0.066,6.636,6.702,20,19.424
138995,0.088,6.943,7.031,20,19.424
139005,0.066,6.416,6.482,20,19.424
139015,0.044,6.548,6.592,20,19.424
139025,0.044,6.636,6.680,20,19.424
139035,0.066,6.724,6.790,20,19.424
139045,0.088,6.526,6.614,20,19.424
139055,0.110,7.053,7.163,20,19.424
139065,0.088,6.790,6.877,20,19.424
139075,0.044,6.262,6.306,20,19.424
139085,0.154,6.812,6.965,20,19.424
139095,0.088,6.680,6.768,20,19.424
139105,0.154,6.790,6.943,20,19.424
139115,0.088,6.724,6.812,20,19.424
139125,0.088,6.987,7.075,20,19.424
139135,0.110,6.570,6.680,20,19.424
139145,0.154,6.526,6.680,20,19.424
139155,0.066,6.921,6.987,20,19.424
139165,0.154,6.614,6.768,20,19.424
139175,0.110,6.394,6.504,20,19.424
139185,0.066,6.768,6.833,20,19.424
139195,0.000,7.251,7.251,20,19.424
139205,0.066,6.438,6.504,20,19.424
139215,0.066,6.240,6.306,20,19.424
139225,0.000,6.768,6.768,20,19.424
139235,0.044,6.921,6.965,20,19.424
139245,0.088,6.614,6.702,20,19.424
139255,0.066,6.812,6.877,20,19.424
139265,0.000,6.504,6.504,20,19.424
139275,0.066,6.833,6.899,20,19.424
139285,0.088,6.614,6.702,20,19.424
139295,-0.022,6.702,6.680,20,19.424
139305,0.088,6.746,6.833,20,19.424
139315,0.066,6.548,6.614,20,19.424
139325,0.110,6.416,6.526,20,19.424
139335,0.088,6.196,6.284,20,19.424
139345,0.066,6.438,6.504,20,19.424
139355,0.022,6.526,6.548,20,19.424
139365,0.066,6.768,6.833,20,19.424
139375,0.044,6.768,6.812,20,19.424
139385,0.066,6.548,6.614,20,19.424
139395,0.110,6.526,6.636,20,19.424
139405,0.044,6.218,6.262,20,19.424
139415,0.066,6.328,6.394,20,19.424
139425,0.110,6.548,6.658,20,19.424
139435,0.132,6.262,6.394,20,19.424
139445,0.132,6.592,6.724,20,19.424
139455,0.066,6.702,6.768,20,19.424
139465,0.198,6.460,6.658,20,19.424
139475,0.132,6.833,6.965,20,19.424
139485,0.176,6.680,6.855,20,19.424
139495,0.132,6.482,6.614,20,19.424
139505,0.066,6.350,6.416,20,19.424
139515,0.198,6.724,6.921,20,19.424
139525,0.132,6.790,6.921,20,19.424
139535,0.132,6.460,6.592,20,19.424
139545,0.132,6.482,6.614,20,19.424
139555,0.132,6.833,6.965,20,19.424
139565,0.088,6.899,6.987,20,19.424
139575,0.132,6.702,6.833,20,19.424
139585,0.088,6.724,6.812,20,19.424
139595,0.110,6.526,6.636,20,19.424
139605,0.154,6.702,6.855,20,19.424
139615,0.088,7.075,7.163,20,19.424
139625,0.066,6.877,6.943,20,19.424
139635,0.088,6.680,6.768,20,19.424
139645,0.088,6.570,6.658,20,19.424
139655,0.066,6.746,6.812,20,19.424
139665,0.088,6.196,6.284,20,19.424
139675,0.132,6.899,7.031,20,19.424
139685,0.066,6.702,6.768,20,19.424
139695,0.044,6.636,6.680,20,19.424
139705,0.022,6.658,6.680,20,19.424
139715,0.044,6.262,6.306,20,19.424
139725,0.000,6.636,6.636,20,19.424
139735,0.022,6.702,6.724,20,19.424
139745,-0.022,6.328,6.306,20,19.424
139755,0.022,6.526,6.548,20,19.424
139765,0.000,6.855,6.855,20,19.424
139775,0.022,6.921,6.943,20,19.424
139785,0.022,6.680,6.702,20,19.424
139795,0.000,6.284,6.284,20,19.424
139805,-0.022,7.317,7.295,20,19.424
139815,-0.066,5.999,5.933,20,19.424
139825,0.022,6.504,6.526,20,19.424
139835,0.022,6.196,6.218,20,19.424
139845,0.000,6.702,6.702,20,19.424
139855,0.044,6.350,6.394,20,19.424
139865,0.000,6.460,6.460,20,19.424
139875,0.022,6.548,6.570,20,19.424
139885,0.022,6.614,6.636,20,19.424
139895,0.088,6.987,7.075,20,19.424
139905,0.088,6.592,6.680,20,19.424
139915,0.022,6.899,6.921,20,19.424
139925,0.022,6.460,6.482,20,19.424
139935,0.022,6.438,6.460,20,19.424
139945,0.066,6.943,7.009,20,19.424
139955,0.066,7.097,7.163,20,19.424
139965,0.088,6.482,6.570,20,19.424
139975,0.066,6.724,6.790,20,19.424
139985,0.088,6.636,6.724,20,19.424
139995,0.000,6.680,6.680,20,19.424
140005,-0.044,6.482,6.438,20,19.424
140015,0.044,6.899,6.943,20,19.424
140025,-0.022,6.152,6.130,20,19.424
140035,0.022,6.570,6.592,20,19.424
140045,0.022,6.548,6.570,20,19.424
140055,0.000,6.746,6.746,20,19.424
140065,0.022,6.614,6.636,20,19.424
140075,0.000,6.680,6.680,20,19.424
140085,-0.088,6.768,6.680,20,19.424
140095,-0.066,6.636,6.570,20,19.424
140105,-0.066,6.877,6.812,20,19.424
140115,-0.088,7.053,6.965,20,19.424
140125,0.022,6.987,7.009,20,19.424
140135,-0.066,6.636,6.570,20,19.424
140145,-0.044,6.614,6.570,20,19.424
140155,-0.022,7.053,7.031,20,19.424
140165,-0.066,6.614,6.548,20,19.424
140175,-0.044,6.702,6.658,20,19.424
140185,-0.132,6.702,6.570,20,19.424
140195,-0.044,6.812,6.768,20,19.424
140205,-0.066,6.592,6.526,20,19.424
140215,-0.044,6.943,6.899,20,19.424
140225,-0.110,6.680,6.570,20,19.424
140235,-0.110,6.724,6.614,20,19.424
140245,-0.066,6.790,6.724,20,19.424
140255,-0.110,6.504,6.394,20,19.424
140265,-0.022,6.877,6.855,20,19.424
140275,-0.044,6.724,6.680,20,19.424
140285,-0.088,6.460,6.372,20,19.424
140295,-0.066,6.614,6.548,20,19.424
140305,-0.088,6.196,6.108,20,19.424
140315,-0.066,6.768,6.702,20,19.424
140325,-0.066,7.075,7.009,20,19.424
140335,0.000,6.855,6.855,20,19.424
140345,-0.044,6.394,6.350,20,19.424
140355,-0.066,6.877,6.812,20,19.424
140365,-0.044,6.921,6.877,20,19.424
140375,-0.044,6.812,6.768,20,19.424
140385,0.044,6.724,6.768,20,19.424
140395,-0.044,6.702,6.658,20,19.424
140405,-0.066,6.833,6.768,20,19.424
140415,-0.088,6.526,6.438,20,19.424
140425,-0.044,6.636,6.592,20,19.424
140435,-0.044,6.394,6.350,20,19.424
140445,-0.044,6.592,6.548,20,19.424
140455,-0.022,6.636,6.614,20,19.424
140465,-0.044,6.702,6.658,20,19.424
140475,-0.022,6.174,6.152,20,19.424
140485,-0.044,6.592,6.548,20,19.424
140495,-0.088,6.899,6.812,20,19.424
140505,-0.066,6.438,6.372,20,19.424
140515,-0.022,6.855,6.833,20,19.424
140525,-0.022,6.636,6.614,20,19.424
140535,-0.044,6.987,6.943,20,19.424
140545,-0.066,6.218,6.152,20,19.424
140555,0.000,6.768,6.768,20,19.424
140565,-0.022,6.482,6.460,20,19.424
140575,-0.044,6.680,6.636,20,19.424
140585,-0.066,6.921,6.855,20,19.424
140595,-0.088,6.877,6.790,20,19.424
140605,0.000,6.306,6.306,20,19.424
140615,-0.044,7.009,6.965,20,19.424
140625,-0.066,6.438,6.372,20,19.424
140635,-0.044,7.031,6.987,20,19.424
140645,-0.088,7.097,7.009,20,19.424
140655,-0.088,6.614,6.526,20,19.424
140665,-0.088,6.614,6.526,20,19.424
140675,-0.022,6.812,6.790,20,19.424
140685,-0.022,6.702,6.680,20,19.424
140695,0.000,6.328,6.328,20,19.424
140705,-0.022,6.921,6.899,20,19.424
140715,0.000,6.855,6.855,20,19.424
140725,0.000,6.526,6.526,20,19.424
140735,-0.022,6.460,6.438,20,19.424
