# 형식: 읽기용 4Hz
E,169387,MOVE,0
E,171612,MOVE,10
E,173059,MOVE,0
# 출력 재개 (s 로 다시 정지)
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-162.84  alpha=-158.44   << phi raw=10767 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-162.55  alpha=-158.16   << phi raw=10751 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-161.65  alpha=-157.26   << phi raw=10744 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-162.60  alpha=-158.20   << phi raw=10756 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-162.20  alpha=-157.81   << phi raw=10767 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-161.70  alpha=-157.30   << phi raw=10799 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.69  alpha=-156.29   << phi raw=10810 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.25  alpha=-155.85   << phi raw=10802 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.00  alpha=-155.61   << phi raw=10809 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.73  alpha=-156.34   << phi raw=10818 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.33  alpha=-155.94   << phi raw=10806 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-159.39  alpha=-155.00   << phi raw=10822 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-159.81  alpha=-155.41   << phi raw=10826 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.51  alpha=-156.12   << phi raw=10819 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.22  alpha=-155.83   << phi raw=10799 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-160.14  alpha=-155.74   << phi raw=10768 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-158.23  alpha=-153.83   << phi raw=10694 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-153.90  alpha=-149.50   << phi raw=10652 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-146.10  alpha=-141.70   << phi raw=10651 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-138.87  alpha=-134.47   << phi raw=10667 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-132.41  alpha=-128.01   << phi raw=10649 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-123.20  alpha=-118.81   << phi raw=10659 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-116.37  alpha=-111.97   << phi raw=10791 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-108.90  alpha=-104.50   << phi raw=10856 >>
dcmd=+0  d=+0.18 | phi=+4.39!  ank=-106.48  alpha=-102.08   << phi raw=10905 >>
dcmd=+0  d=+0.09 | phi=+4.39!  ank=-111.01  alpha=-106.61   << phi raw=10920 >>
dcmd=+0  d=-0.18 | phi=+4.39!  ank=-126.32  alpha=-121.93   << phi raw=10923 >>
dcmd=+0  d=-0.26 | phi=+4.39!  ank=-141.86  alpha=-137.46   << phi raw=10971 >>
dcmd=+0  d=-0.09 | phi=+6.46  ank=-145.44  alpha=-138.98
dcmd=+0  d=-0.09 | phi=+3.76  ank=-145.00  alpha=-141.24
dcmd=+0  d=-0.18 | phi=+3.60  ank=-143.44  alpha=-139.83
dcmd=+0  d=-0.18 | phi=+2.11  ank=-142.36  alpha=-140.25
dcmd=+0  d=-0.18 | phi=+0.90  ank=-142.36  alpha=-141.46
dcmd=+0  d=-0.09 | phi=+0.79  ank=-141.77  alpha=-140.98
dcmd=+0  d=-0.09 | phi=-0.04  ank=-139.81  alpha=-139.86
dcmd=+0  d=-0.26 | phi=+0.68  ank=-141.00  alpha=-140.32
dcmd=+0  d=-0.26 | phi=+0.59  ank=-142.56  alpha=-141.97
dcmd=+0  d=-0.26 | phi=+0.70  ank=-143.35  alpha=-142.65
dcmd=+0  d=-0.26 | phi=+0.70  ank=-142.34  alpha=-141.64
dcmd=+0  d=-0.18 | phi=+0.07  ank=-142.27  alpha=-142.21
dcmd=+0  d=-0.18 | phi=-0.92  ank=-142.32  alpha=-143.24
dcmd=+0  d=-0.26 | phi=-1.16  ank=-141.83  alpha=-143.00
dcmd=+0  d=-0.26 | phi=-1.49  ank=-140.47  alpha=-141.97
dcmd=+0  d=-0.18 | phi=+0.37  ank=-138.14  alpha=-137.77
dcmd=+0  d=-0.18 | phi=+3.91  ank=-138.52  alpha=-134.60
dcmd=+0  d=-0.18 | phi=+6.75  ank=-141.13  alpha=-134.38
dcmd=+0  d=-0.09 | phi=+5.36  ank=-143.57  alpha=-138.21
dcmd=+0  d=-0.09 | phi=+6.28  ank=-150.05  alpha=-143.77
dcmd=+0  d=+0.26 | phi=+9.23  ank=-158.14  alpha=-148.91
dcmd=+0  d=+0.26 | phi=+11.56  ank=-168.09  alpha=-156.53
dcmd=+0  d=+0.18 | phi=+8.48  ank=-172.09  alpha=-163.61
dcmd=+0  d=+0.26 | phi=+5.43  ank=-173.80  alpha=-168.38
dcmd=+0  d=+0.26 | phi=+5.91  ank=-175.78  alpha=-169.87
dcmd=+0  d=+0.26 | phi=+5.93  ank=-177.28  alpha=-171.34
dcmd=+0  d=+0.18 | phi=+4.88  ank=-177.12  alpha=-172.24
dcmd=+0  d=+0.26 | phi=+4.70  ank=-178.57  alpha=-173.87
dcmd=+0  d=+0.26 | phi=+4.31  ank=-179.74  alpha=-175.43
dcmd=+0  d=+0.26 | phi=+3.16  ank=-179.06  alpha=-175.89
dcmd=+0  d=+0.26 | phi=+3.45  ank=-179.58  alpha=-176.13
dcmd=+0  d=+0.18 | phi=+3.16  ank=-179.74  alpha=-176.57
dcmd=+0  d=+0.26 | phi=+2.53  ank=-179.27  alpha=-176.75
dcmd=+0  d=+0.26 | phi=+2.68  ank=-179.01  alpha=-176.33
dcmd=+0  d=+0.18 | phi=+2.37  ank=-178.95  alpha=-176.57
dcmd=+0  d=+0.26 | phi=+0.02  ank=-178.42  alpha=-178.40
dcmd=+0  d=+0.18 | phi=-1.08  ank=-179.36  alpha=-180.44
dcmd=+0  d=-0.18 | phi=-2.77  ank=+177.47  alpha=+174.70
dcmd=+0  d=-0.18 | phi=-5.49  ank=+177.74  alpha=+172.24
dcmd=+0  d=-0.35 | phi=-7.84  ank=+177.54  alpha=+169.69
dcmd=+0  d=-0.35 | phi=-18.39  ank=+179.19  alpha=+160.80
dcmd=+0  d=-0.35 | phi=-22.59  ank=+179.65  alpha=+157.06
dcmd=+0  d=-0.35 | phi=-21.14  ank=+179.52  alpha=+158.38
dcmd=+0  d=-0.35 | phi=-22.19  ank=-178.62  alpha=-200.81
dcmd=+0  d=-0.35 | phi=-20.94  ank=-179.65  alpha=-200.59
dcmd=+0  d=-0.44 | phi=-18.61  ank=-179.78  alpha=-198.39
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-178.92  alpha=-197.53   << phi raw=9727 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-179.14  alpha=-197.75   << phi raw=9686 >>
dcmd=+0  d=-0.44 | phi=-18.61!  ank=-178.81  alpha=-197.42   << phi raw=9658 >>
dcmd=+0  d=-0.35 | phi=-18.61!  ank=-179.12  alpha=-197.73   << phi raw=0 >>
