E,0,ZERO
E,0,STREAM_ON
D,2021280,-0.0220
D,2021285,-0.0000
D,2021290,0.0439
D,2021295,0.0220
D,2021300,0.0220
D,2021305,0.0220
D,2021310,-0.0439
D,2021315,-0.0439
D,2021320,0.0220
D,2021325,-0.0879
D,2021330,0.0220
D,2021335,-0.0220
D,2021340,-0.0220
D,2021345,0.0659
D,2021350,0.0439
D,2021355,0.0220
D,2021360,-0.0220
D,2021365,-0.0000
D,2021370,-0.0000
D,2021375,0.0220
D,2021380,0.0439
D,2021385,-0.0000
D,2021390,-0.0000
D,2021395,0.0220
D,2021400,-0.0000
D,2021405,0.0659
D,2021410,0.0439
D,2021415,-0.0000
D,2021420,-0.0000
D,2021425,0.0220
D,2021430,0.0439
D,2021435,-0.0439
D,2021440,-0.0000
D,2021445,-0.0220
D,2021450,0.0439
D,2021455,-0.0659
D,2021460,0.0220
D,2021465,0.0220
D,2021470,0.0439
D,2021475,0.0220
D,2021480,-0.0000
D,2021485,-0.0220
D,2021490,-0.0000
D,2021495,0.0659
D,2021500,-0.0000
D,2021505,-0.0439
D,2021510,0.0220
D,2021515,-0.0439
D,2021520,-0.0000
D,2021525,0.0220
D,2021530,-0.0000
D,2021535,0.0220
D,2021540,-0.0000
D,2021545,0.0220
D,2021550,0.0220
D,2021555,-0.0220
D,2021560,0.0439
D,2021565,-0.0220
D,2021570,0.0220
D,2021575,0.0439
D,2021580,-0.0220
D,2021585,0.0439
D,2021590,-0.0000
D,2021595,-0.0000
D,2021600,-0.0220
D,2021605,0.0220
D,2021610,0.0439
D,2021615,-0.0879
D,2021620,-0.0879
D,2021625,-0.0220
D,2021630,-0.0000
D,2021635,0.0220
D,2021640,0.0439
D,2021645,-0.0439
D,2021650,-0.0000
D,2021655,0.0439
D,2021660,-0.0000
D,2021665,0.0220
D,2021670,0.0879
D,2021675,0.0439
D,2021680,0.0220
D,2021685,-0.0000
D,2021690,0.0439
D,2021695,-0.0220
D,2021700,0.0659
D,2021705,0.0220
D,2021710,0.0220
D,2021715,-0.0000
D,2021720,-0.0439
D,2021725,0.0220
D,2021730,-0.0220
D,2021735,0.0220
D,2021740,0.0220
D,2021745,-0.0000
D,2021750,-0.0220
D,2021755,-0.0439
D,2021760,0.0220
D,2021765,0.0220
D,2021770,-0.0220
D,2021775,0.0439
D,2021780,-0.0439
D,2021785,0.0220
D,2021790,-0.0000
D,2021795,0.0659
D,2021800,-0.0000
D,2021805,0.0439
D,2021810,-0.0000
D,2021815,0.0220
D,2021820,0.0220
D,2021825,-0.0220
D,2021830,-0.0220
D,2021835,0.0439
D,2021840,-0.0220
D,2021845,0.0220
D,2021850,0.0220
D,2021855,0.0220
D,2021860,0.0439
D,2021865,0.0220
D,2021870,-0.0439
D,2021875,-0.0000
D,2021880,0.0439
D,2021885,0.0439
D,2021890,0.0439
D,2021895,0.0220
D,2021900,0.0220
D,2021905,0.0220
D,2021910,0.0879
D,2021915,-0.0000
D,2021920,0.0220
D,2021925,0.0220
D,2021930,-0.0220
D,2021935,-0.0000
D,2021940,0.0220
D,2021945,0.0220
D,2021950,-0.0220
D,2021955,0.0220
D,2021960,0.0220
D,2021965,-0.0220
D,2021970,0.0220
D,2021975,-0.0000
D,2021980,0.0659
D,2021985,-0.0000
D,2021990,-0.0000
D,2021995,0.0659
D,2022000,-0.0000
D,2022005,-0.0220
D,2022010,-0.0000
D,2022015,0.0439
D,2022020,0.0439
D,2022025,0.0439
D,2022030,-0.0000
D,2022035,0.0439
D,2022040,0.0220
D,2022045,0.0220
D,2022050,-0.0000
D,2022055,0.0220
D,2022060,0.1099
D,2022065,-0.0220
D,2022070,0.0220
D,2022075,0.0220
D,2022080,-0.0000
D,2022085,-0.0000
D,2022090,-0.0220
D,2022095,-0.0220
D,2022100,-0.0000
D,2022105,0.0220
D,2022110,0.0220
D,2022115,0.0439
D,2022120,0.0220
D,2022125,-0.0000
D,2022130,-0.0000
D,2022135,0.0220
D,2022140,-0.0000
D,2022145,-0.0220
D,2022150,0.0220
D,2022155,-0.0220
D,2022160,-0.0220
D,2022165,0.0220
D,2022170,-0.0000
D,2022175,-0.0000
D,2022180,-0.0000
D,2022185,0.0220
D,2022190,0.0220
D,2022195,0.0439
D,2022200,-0.0000
